OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,longitude,latitude
162,0.035269815,4.79E-05,Midtown East,162,Manhattan,-73.97247103,40.75684009
163,0.034176867,4.09E-05,Midtown North,163,Manhattan,-73.97704101,40.76438684
164,0.035771612,5.56E-05,Midtown South,164,Manhattan,-73.98568367,40.7490836
165,0.088608036,0.000353959,Midwood,165,Brooklyn,-73.95794403,40.62007325
166,0.068823754,0.000255276,Morningside Heights,166,Manhattan,-73.96160428,40.80962165
167,0.090815974,0.000167529,Morrisania/Melrose,167,Bronx,-73.90139128,40.82798779
168,0.114517434,0.000547058,Mott Haven/Port Morris,168,Bronx,-73.91466717,40.80710067
169,0.060104658,0.000146028,Mount Hope,169,Bronx,-73.90625478,40.8492287
170,0.045769009,7.43E-05,Murray Hill,170,Manhattan,-73.97764803,40.7477248
171,0.107353876,0.0005201,Murray Hill-Queens,171,Queens,-73.80843274,40.76865787
172,0.118476116,0.000658403,New Dorp/Midland Beach,172,Staten Island,-74.10493211,40.5724405
173,0.060063966,0.00017833,North Corona,173,Queens,-73.86340051,40.75163927
174,0.067817756,0.000155929,Norwood,174,Bronx,-73.87874503,40.87685306
175,0.134897665,0.000504921,Oakland Gardens,175,Queens,-73.75394465,40.74329709
176,0.151995191,0.000657782,Oakwood,176,Staten Island,-74.12215229,40.56207259
177,0.071580541,0.000198895,Ocean Hill,177,Brooklyn,-73.9113934,40.67714874
178,0.068252877,0.000175805,Ocean Parkway South,178,Brooklyn,-73.97035344,40.61763563
179,0.071380864,0.000183893,Old Astoria,179,Queens,-73.92778076,40.77142014
180,0.080527767,0.000247682,Ozone Park,180,Queens,-73.84834282,40.67507747
181,0.08953724,0.00030689,Park Slope,181,Brooklyn,-73.98281953,40.67193521
182,0.039360637,9.11E-05,Parkchester,182,Bronx,-73.85808184,40.837731
183,0.039826296,9.52E-05,Pelham Bay,183,Bronx,-73.83148807,40.84954457
184,0.260815683,0.001988834,Pelham Bay Park,184,Bronx,-73.79975803,40.86391729
185,0.086161968,0.000228537,Pelham Parkway,185,Bronx,-73.85245596,40.85347483
186,0.02469639,3.71E-05,Penn Station/Madison Sq West,186,Manhattan,-73.99243413,40.74849637
187,0.126868431,0.000421196,Port Richmond,187,Staten Island,-74.13743528,40.62569847
188,0.097798397,0.000313003,Prospect-Lefferts Gardens,188,Brooklyn,-73.94477343,40.65733937
189,0.048674331,0.000101428,Prospect Heights,189,Brooklyn,-73.96812685,40.67722068
190,0.074329466,0.000270874,Prospect Park,190,Brooklyn,-73.97059331,40.6606434
191,0.130932638,0.000688461,Queens Village,191,Queens,-73.74200247,40.7139484
192,0.11196462,0.000373808,Queensboro Hill,192,Queens,-73.81520216,40.74441059
193,0.065529958,0.000145592,Queensbridge/Ravenswood,193,Queens,-73.94239238,40.76179354
194,0.081793835,0.000273482,Randalls Island,194,Manhattan,-73.92492531,40.7914583
195,0.131308244,0.000801652,Red Hook,195,Brooklyn,-74.00928515,40.67546296
196,0.083242111,0.000197471,Rego Park,196,Queens,-73.86568843,40.72371255
197,0.108568532,0.000504689,Richmond Hill,197,Queens,-73.83006053,40.69266735
198,0.134094243,0.00049981,Ridgewood,198,Queens,-73.90083343,40.70461392
199,0.077808501,0.000288748,Rikers Island,199,Bronx,-73.88180097,40.79205183
200,0.112661735,0.000744643,Riverdale/North Riverdale/Fieldston,200,Bronx,-73.90846687,40.90007561
201,0.130404118,0.000619351,Rockaway Park,201,Queens,-73.84104052,40.57742186
202,0.069921571,0.000106175,Roosevelt Island,202,Manhattan,-73.95081169,40.76118081
203,0.189937816,0.00061513,Rosedale,203,Queens,-73.74453868,40.65928494
204,0.101912418,0.000641384,Rossville/Woodrow,204,Staten Island,-74.20652667,40.54077587
205,0.141953388,0.000766217,Saint Albans,205,Queens,-73.76343548,40.69169803
206,0.212756793,0.000944393,Saint George/New Brighton,206,Staten Island,-74.10065354,40.63598963
207,0.028375683,4.47E-05,Saint Michaels Cemetery/Woodside,207,Queens,-73.89853619,40.76352213
208,0.21472101,0.002020326,Schuylerville/Edgewater Park,208,Bronx,-73.81617148,40.82468018
209,0.030695311,3.89E-05,Seaport,209,Manhattan,-74.00412841,40.70847535
210,0.114851983,0.000453155,Sheepshead Bay,210,Brooklyn,-73.93919621,40.59377083
211,0.025234508,3.97E-05,SoHo,211,Manhattan,-74.00108192,40.72371648
212,0.067129065,0.000161276,Soundview/Bruckner,212,Bronx,-73.87039557,40.82828768
213,0.159958784,0.000904078,Soundview/Castle Hill,213,Bronx,-73.86027521,40.81673137
214,0.135300314,0.000811977,South Beach/Dongan Hills,214,Staten Island,-74.08480865,40.58661635
215,0.103556454,0.000395647,South Jamaica,215,Queens,-73.79230112,40.69419209
216,0.116797555,0.000816077,South Ozone Park,216,Queens,-73.82062522,40.67722252
217,0.055390525,0.000114733,South Williamsburg,217,Brooklyn,-73.95772172,40.70323201
218,0.083700828,0.000281294,Springfield Gardens North,218,Queens,-73.77287379,40.67348236
219,0.15512667,0.000428176,Springfield Gardens South,219,Queens,-73.77031766,40.66030817
220,0.106015943,0.000313036,Spuyten Duyvil/Kingsbridge,220,Bronx,-73.91076089,40.88184931
221,0.166218221,0.000890112,Stapleton,221,Staten Island,-74.07236327,40.62023025
222,0.048389353,0.000130268,Starrett City,222,Brooklyn,-73.8829178,40.64671811
223,0.166021925,0.000764361,Steinway,223,Queens,-73.90583211,40.77840684
224,0.044020446,9.85E-05,Stuy Town/Peter Cooper Village,224,Manhattan,-73.97698055,40.73171016
225,0.088799207,0.000310835,Stuyvesant Heights,225,Brooklyn,-73.93012297,40.68871483
226,0.168957762,0.000761944,Sunnyside,226,Queens,-73.92653049,40.73524694
227,0.082830157,0.000268317,Sunset Park East,227,Brooklyn,-74.00294805,40.6415348
228,0.177685178,0.000993415,Sunset Park West,228,Brooklyn,-74.0099612,40.65359301
229,0.04252529,9.47E-05,Sutton Place/Turtle Bay North,229,Manhattan,-73.9649977,40.75657342
230,0.03102831,5.61E-05,Times Sq/Theatre District,230,Manhattan,-73.98419649,40.75981694
231,0.063420117,0.00016693,TriBeCa/Civic Center,231,Manhattan,-74.00726408,40.71857653
232,0.061470909,0.00021605,Two Bridges/Seward Park,232,Manhattan,-73.98302175,40.71529952
233,0.048035918,0.000116188,UN/Turtle Bay South,233,Manhattan,-73.96997925,40.74912352
234,0.036072199,7.31E-05,Union Sq,234,Manhattan,-73.9904577,40.74023674
235,0.076166843,0.000212845,University Heights/Morris Heights,235,Bronx,-73.91638081,40.85370987
236,0.044251922,0.000102864,Upper East Side North,236,Manhattan,-73.95701008,40.78043964
237,0.0422126,9.60E-05,Upper East Side South,237,Manhattan,-73.9656356,40.76861402
238,0.060109311,0.000184764,Upper West Side North,238,Manhattan,-73.97303121,40.79178334
239,0.063626115,0.000204715,Upper West Side South,239,Manhattan,-73.97873166,40.78402467
240,0.146069764,0.000722131,Van Cortlandt Park,240,Bronx,-73.88053624,40.89477156
241,0.068764578,0.000254677,Van Cortlandt Village,241,Bronx,-73.89587874,40.87601241
242,0.138136446,0.000360072,Van Nest/Morris Park,242,Bronx,-73.85104023,40.84965337
243,0.0943315,0.000438377,Washington Heights North,243,Manhattan,-73.93579385,40.85863886
244,0.080568604,0.000359703,Washington Heights South,244,Manhattan,-73.94077505,40.84119423
245,0.09598306,0.000466175,West Brighton,245,Staten Island,-74.10068246,40.62838712
246,0.069467194,0.000281298,West Chelsea/Hudson Yards,246,Manhattan,-74.00381237,40.75241175
247,0.092967858,0.000205617,West Concourse,247,Bronx,-73.92251378,40.82918238
248,0.056919117,0.000149593,West Farms/Bronx River,248,Bronx,-73.87330005,40.83468054
249,0.036384344,7.22E-05,West Village,249,Manhattan,-74.00196545,40.73461067
250,0.079626347,0.000240976,Westchester Village/Unionport,250,Bronx,-73.84986215,40.83260905
251,0.137711161,0.000625755,Westerleigh,251,Staten Island,-74.12367427,40.61958467
252,0.158004374,0.001025264,Whitestone,252,Queens,-73.81570278,40.78831685
253,0.0360515,7.83E-05,Willets Point,253,Queens,-73.84175225,40.76039186
254,0.085886375,0.00036004,Williamsbridge/Olinville,254,Bronx,-73.85822977,40.88330986
255,0.0623842,0.000172309,Williamsburg (North Side),255,Brooklyn,-73.95728801,40.7187925
256,0.067914967,0.000168611,Williamsburg (South Side),256,Brooklyn,-73.95933183,40.71097897
257,0.058669026,0.000138909,Windsor Terrace,257,Brooklyn,-73.97963519,40.65347764
258,0.089013379,0.00036621,Woodhaven,258,Queens,-73.85493642,40.68997247
259,0.126750305,0.000394552,Woodlawn/Wakefield,259,Bronx,-73.85631852,40.89906979
260,0.133514155,0.000422345,Woodside,260,Queens,-73.90684115,40.74660452
261,0.027120456,3.43E-05,World Trade Center,261,Manhattan,-74.01264389,40.70911998
262,0.049063623,0.00012233,Yorkville East,262,Manhattan,-73.94514228,40.77668092
263,0.037016625,6.58E-05,Yorkville West,263,Manhattan,-73.9510088,40.77876628
